Date,Description,Reference,Amount
2026-08-03,ADP PAYROLL PPD REF42137,REF42137,-5452.97
2026-08-03,CHEQUE 1102,CHQ#1102,-16711.11
2026-08-03,CHEQUE 1108,CHQ#1108,-11335.65
2026-08-03,CHQ DITCH WITCH ONT REF41903,REF41903,-20960.16
2026-08-04,CHEQUE 1105,CHQ#1105,-20506.45
2026-08-04,DEP BELL CDA AP REF42144,REF42144,83431.55
2026-08-04,DEP TELUS COMM AP REF41737,REF41737,33410.92
2026-08-05,CHEQUE 1099,CHQ#1099,-6120.44
2026-08-05,CHEQUE 1103,CHQ#1103,-21923.59
2026-08-05,CHQ DITCH WITCH ONT REF41851,REF41851,-23162.12
2026-08-05,DEP COGECO CONNEXION REF41867,REF41867,26381.28
2026-08-05,EFT REGION HALTON PERMIT REF42172,REF42172,-17860.85
2026-08-07,DEP COGECO CONNEXION REF41818,REF41818,108956.70
2026-08-10,ADP PAYROLL PPD REF42023,REF42023,-19282.02
2026-08-10,CHQ DITCH WITCH ONT REF42072,REF42072,-23223.09
2026-08-10,DEP BELL CDA AP REF41983,REF41983,66115.22
2026-08-10,EFT BRANDT TRACTOR REF41772,REF41772,-20761.12
2026-08-10,EFT REGION HALTON PERMIT REF41995,REF41995,-8730.41
2026-08-10,EFT ROGERS COMM REF42150,REF42150,-22719.95
2026-08-10,PAD GFL ENVIRONMENTAL SVC REF42180,REF42180,-884.36
2026-08-11,CHEQUE 1110,CHQ#1110,-11235.48
2026-08-11,CHEQUE 1114,CHQ#1114,-7407.26
2026-08-12,DEP TELUS COMM AP REF42059,REF42059,95786.15
2026-08-12,EFT ROGERS COMM REF41935,REF41935,-7168.02
2026-08-12,EFT VERMEER CDA REF42040,REF42040,-974.74
2026-08-13,DEP BELL CDA AP REF42090,REF42090,33127.26
2026-08-13,DEP TELUS COMM AP REF41953,REF41953,32107.15
2026-08-14,CHEQUE 1106,CHQ#1106,-7962.45
2026-08-17,CHEQUE 1100,CHQ#1100,-21003.21
2026-08-17,EFT ANIXTER CDA SUPPLY REF42177,REF42177,-6915.35
2026-08-17,EFT BRANDT TRACTOR REF41808,REF41808,-10816.76
2026-08-17,EFT WSIB ONT PREMIUM REF41775,REF41775,-22433.80
2026-08-17,PAD PETROCAN SUPERPASS REF42101,REF42101,-12961.15
2026-08-18,CHEQUE 1109,CHQ#1109,-5772.94
2026-08-18,EFT WSIB ONT PREMIUM REF41893,REF41893,-20482.77
2026-08-19,CHEQUE 1111,CHQ#1111,-4223.95
2026-08-19,EFT VERMEER CDA REF41974,REF41974,-22695.51
2026-08-20,DEP TELUS COMM AP REF41756,REF41756,59522.74
2026-08-20,PAD SHELL FLEET REF42120,REF42120,-11410.58
2026-08-21,CHEQUE 1101,CHQ#1101,-16680.22
2026-08-21,EFT BRANDT TRACTOR REF42035,REF42035,-15144.87
2026-08-21,EFT REGION HALTON PERMIT REF42107,REF42107,-9256.03
2026-08-24,CHEQUE 1104,CHQ#1104,-11126.97
2026-08-24,DEP BELL CDA AP REF41908,REF41908,114768.33
2026-08-24,EFT BELL CDA PAYMENT REF41998,REF41998,-23474.64
2026-08-24,EFT VERMEER CDA REF41958,REF41958,-21646.81
2026-08-24,EFT VERMEER CDA REF42166,REF42166,-9017.49
2026-08-24,PAD GFL ENVIRONMENTAL REF41943,REF41943,-9995.07
2026-08-24,PAD SHELL FLEET REF42087,REF42087,-20668.55
2026-08-24,POS HOME DEPOT PRO REF41925,REF41925,-18292.01
2026-08-25,DEP COGECO CONNEXION REF42012,REF42012,106264.14
2026-08-25,EFT REGION HALTON PERMIT REF41831,REF41831,-9302.37
2026-08-25,EFT REGION HALTON PERMIT REF42002,REF42002,-20785.91
2026-08-26,CHQ DITCH WITCH ONT REF41838,REF41838,-16978.53
2026-08-26,EFT BRANDT TRACTOR REF41880,REF41880,-1962.41
2026-08-27,CHEQUE 1107,CHQ#1107,-21939.26
2026-08-27,CHEQUE 1112,CHQ#1112,-2148.64
2026-08-27,CHEQUE 1113,CHQ#1113,-16269.85
2026-08-27,PAD ENTERPRISE FLEET REF41793,REF41793,-17474.53
2026-08-31,MONTHLY ACCOUNT FEE,SVC-AUG,-142.50
