Date,Description,Reference,Amount
2026-07-01,EFT REGION HALTON PERMIT REF41047,REF41047,-9240.68
2026-07-01,PAD ENTERPRISE FLEET REF41192,REF41192,-2754.91
2026-07-02,CHEQUE 1079,CHQ#1079,-7412.66
2026-07-02,DEP ROGERS COMM AP REF40947,REF40947,48310.77
2026-07-02,EFT BELL CDA PAYMENT REF41406,REF41406,-3195.21
2026-07-02,PAD ENTERPRISE FLEET REF40990,REF40990,-1286.43
2026-07-03,CHEQUE 1089,CHQ#1089,-6483.87
2026-07-03,DEP COGECO CONNEXION REF40957,REF40957,12764.31
2026-07-03,PAD INTACT INS REF41146,REF41146,-5520.97
2026-07-03,POS HOME DEPOT PRO REF41142,REF41142,-6189.11
2026-07-06,ADP PAYROLL PPD REF41155,REF41155,-3809.75
2026-07-06,ADP PAYROLL PPD REF41484,REF41484,-23049.79
2026-07-06,CHEQUE 1090,CHQ#1090,-13328.46
2026-07-06,CHEQUE 1091,CHQ#1091,-14918.72
2026-07-06,CHEQUE 1097,CHQ#1097,-5869.20
2026-07-06,DEP BELL CDA AP REF41309,REF41309,101585.76
2026-07-06,DEP COGECO CONNEXION REF41622,REF41622,107446.55
2026-07-06,EFT BRANDT TRACTOR REF41545,REF41545,-1880.98
2026-07-06,EFT WESCO DIST CANADA REF41679,REF41679,-8431.33
2026-07-06,EFT WSIB ONT PREMIUM REF41653,REF41653,-16142.58
2026-07-07,CHEQUE 1085,CHQ#1085,-421.80
2026-07-07,DEP COGECO CONNEXION REF41197,REF41197,109732.35
2026-07-07,DEP ROGERS COMM AP REF41149,REF41149,110465.06
2026-07-08,CHEQUE 1081,CHQ#1081,-2340.55
2026-07-08,CHEQUE 1087,CHQ#1087,-7483.76
2026-07-08,PAD PETROCAN SUPERPASS REF41291,REF41291,-21180.45
2026-07-08,POS HOME DEPOT PRO REF41533,REF41533,-2913.97
2026-07-09,EFT ANIXTER CDA REF41320,REF41320,-8631.93
2026-07-09,EFT TELECON DESIGN REF41522,REF41522,-16553.51
2026-07-09,EFT VERMEER CDA REF41127,REF41127,-4508.79
2026-07-09,EFT VERMEER CDA REF41672,REF41672,-2277.58
2026-07-09,EFT WESCO DIST REF41440,REF41440,-23178.15
2026-07-10,CHEQUE 1098,CHQ#1098,-4354.73
2026-07-10,EFT REGION HALTON PERMIT REF41475,REF41475,-23762.54
2026-07-13,CHEQUE 1088,CHQ#1088,-7236.59
2026-07-13,DEP ROGERS COMM AP REF41333,REF41333,51481.20
2026-07-13,DEP TELUS COMM AP REF41007,REF41007,49454.36
