Date,Account,Memo,DocNo,Amount
2026-08-01,1010 Cash — Operating,July bank charges — monthly account fee,JE-2608-01,-135.00
2026-08-01,1010 Cash — Operating,July interest income per bank statement,JE-2608-02,198.42
2026-08-01,1010 Cash — Operating,Write-off of July reconciliation residual,JE-2608-03,-0.31
2026-08-03,1010 Cash — Operating,ADP Payroll — invoice payment,REF42137,-5452.97
2026-08-03,1010 Cash — Operating,Ditch Witch of Ontario — invoice payment,REF41903,-20960.16
2026-08-03,1010 Cash — Operating,United Rentals — invoice payment,CHQ#1108,-11335.65
2026-08-03,1010 Cash — Operating,WESCO Distribution — invoice payment,CHQ#1102,-16711.11
2026-08-04,1010 Cash — Operating,Bell aerial build — holdback release,REF42144,83431.55
2026-08-04,1010 Cash — Operating,Staples Business — invoice payment,CHQ#1105,-20506.45
2026-08-05,1010 Cash — Operating,Cogeco underground build,REF41867,26381.28
2026-08-05,1010 Cash — Operating,Ditch Witch of Ontario — invoice payment,REF41851,-23162.12
2026-08-05,1010 Cash — Operating,Ditch Witch of Ontario — invoice payment,CHQ#1103,-21923.59
2026-08-05,1010 Cash — Operating,Region of Halton — invoice payment,REF42172,-17860.85
2026-08-07,1010 Cash — Operating,Cogeco underground build,REF41818,108956.70
2026-08-10,1010 Cash — Operating,ADP Payroll — invoice payment,REF42023,-19282.02
2026-08-10,1010 Cash — Operating,Bell aerial build — holdback release,REF41983,66115.22
2026-08-10,1010 Cash — Operating,Brandt Tractor Ltd — invoice payment,REF41772,-20761.12
2026-08-10,1010 Cash — Operating,Ditch Witch of Ontario — invoice payment,REF42072,-23223.09
2026-08-10,1010 Cash — Operating,Ditch Witch of Ontario — invoice payment,CHQ#1110,-11235.48
2026-08-10,1010 Cash — Operating,GFL Environmental — invoice payment,REF42180,-884.12
2026-08-10,1010 Cash — Operating,Region of Halton — invoice payment,REF41995,-8730.41
2026-08-10,1010 Cash — Operating,Rogers Communications — invoice payment,REF42150,-22719.95
2026-08-10,1010 Cash — Operating,Rogers Communications — invoice payment,CHQ#1114,-7407.26
2026-08-12,1010 Cash — Operating,Rogers Communications — invoice payment,REF41935,-7168.02
2026-08-12,1010 Cash — Operating,Telus network build — milestone,REF42059,95786.15
2026-08-12,1010 Cash — Operating,Vermeer Canada — invoice payment,REF42040,-974.74
2026-08-13,1010 Cash — Operating,Bell aerial build — holdback release,REF42090,33127.26
2026-08-13,1010 Cash — Operating,Telus network build — milestone,REF41953,32107.15
2026-08-14,1010 Cash — Operating,Enterprise Fleet Mgmt — invoice payment,CHQ#1106,-7962.45
2026-08-17,1010 Cash — Operating,Brandt Tractor Ltd — invoice payment,REF41808,-10816.76
2026-08-17,1010 Cash — Operating,Intact Insurance — invoice payment,CHQ#1111,-4223.95
2026-08-17,1010 Cash — Operating,Petro-Canada SuperPass — invoice payment,REF42101,-12961.15
2026-08-17,1010 Cash — Operating,United Rentals — invoice payment,CHQ#1100,-21003.21
2026-08-17,1010 Cash — Operating,WSIB Ontario — invoice payment,REF41775,-22433.80
2026-08-18,1010 Cash — Operating,United Rentals — invoice payment,CHQ#1109,-5772.94
2026-08-18,1010 Cash — Operating,WSIB Ontario — invoice payment,REF41893,-20482.77
2026-08-19,1010 Cash — Operating,Anixter Canada — invoice payment,REF42177,-6915.73
2026-08-19,1010 Cash — Operating,Vermeer Canada — invoice payment,REF41974,-22695.51
2026-08-20,1010 Cash — Operating,Shell Fleet Card — invoice payment,REF42120,-11410.58
2026-08-20,1010 Cash — Operating,Telus network build — milestone,REF41756,59522.74
2026-08-21,1010 Cash — Operating,ADP Payroll — invoice payment,CHQ#1101,-16680.22
2026-08-21,1010 Cash — Operating,Brandt Tractor Ltd — invoice payment,REF42035,-15144.87
2026-08-21,1010 Cash — Operating,Region of Halton — invoice payment,REF42107,-9256.03
2026-08-24,1010 Cash — Operating,Bell Canada — invoice payment,REF41998,-23474.64
2026-08-24,1010 Cash — Operating,Bell aerial build — holdback release,REF41908,114768.33
2026-08-24,1010 Cash — Operating,GFL Environmental — invoice payment,REF41943,-9995.07
2026-08-24,1010 Cash — Operating,Home Depot Pro — invoice payment,REF41925,-18292.01
2026-08-24,1010 Cash — Operating,Intact Insurance — invoice payment,CHQ#1112,-2148.64
2026-08-24,1010 Cash — Operating,Milton Hydro — invoice payment,CHQ#1113,-16269.85
2026-08-24,1010 Cash — Operating,Petro-Canada SuperPass — invoice payment,CHQ#1104,-11126.97
2026-08-24,1010 Cash — Operating,Shell Fleet Card — invoice payment,REF42087,-20668.55
2026-08-24,1010 Cash — Operating,Vermeer Canada — invoice payment,REF41958,-21646.81
2026-08-24,1010 Cash — Operating,Vermeer Canada — invoice payment,REF42166,-9017.49
2026-08-25,1010 Cash — Operating,Cogeco underground build,REF42012,106264.14
2026-08-25,1010 Cash — Operating,Region of Halton — invoice payment,REF41831,-9302.37
2026-08-25,1010 Cash — Operating,Region of Halton — invoice payment,REF42002,-20785.91
2026-08-26,1010 Cash — Operating,Brandt Tractor Ltd — invoice payment,REF41880,-1962.41
2026-08-26,1010 Cash — Operating,Ditch Witch of Ontario — invoice payment,REF41838,-16978.53
2026-08-27,1010 Cash — Operating,Enterprise Fleet Mgmt — invoice payment,REF41793,-17474.53
2026-08-27,1010 Cash — Operating,GFL Environmental — invoice payment,CHQ#1107,-21939.26
2026-08-28,1010 Cash — Operating,Brandt Tractor Ltd — equipment rebuild,CHQ#1115,-3050.77
2026-08-31,1010 Cash — Operating,Bell aerial build — holdback release,REF42193,21880.15
